product_name,quantity,sale_date,revenue
"""While you Were Out"" Message Book, One Form per Page",1,2018-09-03 00:00:00,8.904
"""While you Were Out"" Message Book, One Form per Page",1,2018-10-30 00:00:00,7.42
"""While you Were Out"" Message Book, One Form per Page",1,2018-11-13 00:00:00,8.904
"#10 Gummed Flap White Envelopes, 100/Box",1,2016-11-03 00:00:00,6.608
"#10 Gummed Flap White Envelopes, 100/Box",1,2017-01-15 00:00:00,16.52
"#10 Gummed Flap White Envelopes, 100/Box",1,2017-04-08 00:00:00,8.26
"#10 Gummed Flap White Envelopes, 100/Box",1,2018-10-31 00:00:00,9.912
#10 Self-Seal White Envelopes,1,2017-04-08 00:00:00,8.872
#10 Self-Seal White Envelopes,1,2017-09-11 00:00:00,11.09
#10 Self-Seal White Envelopes,1,2017-10-15 00:00:00,66.54
#10 Self-Seal White Envelopes,1,2018-09-11 00:00:00,22.18
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2015-09-21 00:00:00,78.35
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2015-11-16 00:00:00,78.35
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2016-09-28 00:00:00,12.536
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2017-01-31 00:00:00,125.36
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2018-03-24 00:00:00,47.01
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2018-06-22 00:00:00,37.608
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2015-06-06 00:00:00,13.984
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2015-07-28 00:00:00,48.944
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-01-05 00:00:00,17.48
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-09-25 00:00:00,17.48
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-11-09 00:00:00,26.22
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-11-30 00:00:00,17.48
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-12-18 00:00:00,55.936
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2018-09-09 00:00:00,17.48
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2018-09-29 00:00:00,27.968
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2018-12-14 00:00:00,43.7
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2015-10-10 00:00:00,15.28
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2015-10-11 00:00:00,7.64
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2017-12-01 00:00:00,22.92
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-01-14 00:00:00,18.336
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-04-30 00:00:00,30.56
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-09-03 00:00:00,24.448
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-11-06 00:00:00,15.28
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-11-12 00:00:00,12.224
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",1,2016-12-27 00:00:00,113.328
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",1,2018-04-30 00:00:00,62.96
#6 3/4 Gummed Flap White Envelopes,1,2016-09-24 00:00:00,15.84
#6 3/4 Gummed Flap White Envelopes,1,2016-12-20 00:00:00,7.92
#6 3/4 Gummed Flap White Envelopes,1,2018-10-27 00:00:00,15.84
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,2015-05-23 00:00:00,208.16
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,2015-11-15 00:00:00,333.056
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,2017-06-12 00:00:00,208.16
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,2018-07-20 00:00:00,416.32
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,2018-11-06 00:00:00,499.584
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",1,2015-11-19 00:00:00,5.88
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",1,2016-11-23 00:00:00,44.1
12 Colored Short Pencils,1,2015-04-25 00:00:00,6.24
12 Colored Short Pencils,1,2017-07-22 00:00:00,4.16
12 Colored Short Pencils,1,2018-11-10 00:00:00,7.8
12-1/2 Diameter Round Wall Clock,1,2015-12-02 00:00:00,39.96
12-1/2 Diameter Round Wall Clock,1,2015-12-06 00:00:00,23.976
12-1/2 Diameter Round Wall Clock,1,2016-11-15 00:00:00,39.96
12-1/2 Diameter Round Wall Clock,1,2016-12-07 00:00:00,79.92
12-1/2 Diameter Round Wall Clock,1,2017-04-30 00:00:00,111.888
12-1/2 Diameter Round Wall Clock,1,2018-01-19 00:00:00,31.968
12-1/2 Diameter Round Wall Clock,1,2018-06-09 00:00:00,23.976
14-7/8 x 11 Blue Bar Computer Printout Paper,1,2017-09-05 00:00:00,96.08
14-7/8 x 11 Blue Bar Computer Printout Paper,1,2018-02-03 00:00:00,115.296
14-7/8 x 11 Blue Bar Computer Printout Paper,1,2018-08-06 00:00:00,115.296
14-7/8 x 11 Blue Bar Computer Printout Paper,1,2018-12-25 00:00:00,96.08
2300 Heavy-Duty Transfer File Systems by Perma,1,2015-04-29 00:00:00,99.92
2300 Heavy-Duty Transfer File Systems by Perma,1,2016-09-26 00:00:00,119.904
2300 Heavy-Duty Transfer File Systems by Perma,1,2016-12-30 00:00:00,74.94
2300 Heavy-Duty Transfer File Systems by Perma,1,2018-10-17 00:00:00,49.96
"24 Capacity Maxi Data Binder Racks, Pearl",1,2015-10-20 00:00:00,505.32
"24 Capacity Maxi Data Binder Racks, Pearl",1,2017-11-28 00:00:00,1263.3
"24 Capacity Maxi Data Binder Racks, Pearl",1,2018-06-10 00:00:00,1347.52
"24 Capacity Maxi Data Binder Racks, Pearl",1,2018-09-04 00:00:00,421.1
24-Hour Round Wall Clock,1,2015-05-20 00:00:00,139.86
24-Hour Round Wall Clock,1,2016-07-02 00:00:00,159.84
24-Hour Round Wall Clock,1,2017-01-10 00:00:00,79.92
24-Hour Round Wall Clock,1,2017-10-28 00:00:00,47.952
24-Hour Round Wall Clock,1,2018-05-15 00:00:00,39.96
24-Hour Round Wall Clock,1,2018-10-04 00:00:00,19.98
3-ring staple pack,1,2015-01-13 00:00:00,5.64
3-ring staple pack,1,2016-06-07 00:00:00,7.52
3-ring staple pack,1,2016-08-13 00:00:00,5.64
3-ring staple pack,1,2016-12-14 00:00:00,3.76
3-ring staple pack,1,2017-09-23 00:00:00,10.528
3-ring staple pack,1,2018-12-02 00:00:00,9.024
3.6 Cubic Foot Counter Height Office Refrigerator,1,2015-03-03 00:00:00,176.772
3.6 Cubic Foot Counter Height Office Refrigerator,1,2017-08-13 00:00:00,58.924
3.6 Cubic Foot Counter Height Office Refrigerator,1,2018-08-07 00:00:00,1473.1
3.6 Cubic Foot Counter Height Office Refrigerator,1,2018-09-14 00:00:00,942.784
3.6 Cubic Foot Counter Height Office Refrigerator,1,2018-12-02 00:00:00,294.62
36X48 HARDFLOOR CHAIRMAT,1,2016-03-05 00:00:00,33.568
36X48 HARDFLOOR CHAIRMAT,1,2017-05-27 00:00:00,25.176
36X48 HARDFLOOR CHAIRMAT,1,2018-07-08 00:00:00,83.92
36X48 HARDFLOOR CHAIRMAT,1,2018-08-17 00:00:00,16.784
36X48 HARDFLOOR CHAIRMAT,1,2018-10-06 00:00:00,41.96
"3D Systems Cube Printer, 2nd Generation, Magenta",1,2017-04-16 00:00:00,9099.93
"3D Systems Cube Printer, 2nd Generation, Magenta",1,2018-10-05 00:00:00,5199.96
"3D Systems Cube Printer, 2nd Generation, White",1,2015-09-09 00:00:00,1299.99
"3D Systems Cube Printer, 2nd Generation, White",1,2018-11-21 00:00:00,1039.992
3M Hangers With Command Adhesive,1,2015-06-01 00:00:00,22.2
3M Hangers With Command Adhesive,1,2016-05-31 00:00:00,22.2
3M Hangers With Command Adhesive,1,2016-12-03 00:00:00,2.96
3M Hangers With Command Adhesive,1,2017-12-11 00:00:00,14.8
3M Hangers With Command Adhesive,1,2017-12-22 00:00:00,11.84
3M Hangers With Command Adhesive,1,2018-04-30 00:00:00,23.68
3M Hangers With Command Adhesive,1,2018-12-28 00:00:00,7.4
3M Hangers With Command Adhesive,1,2018-12-28 00:00:00,2.96
3M Office Air Cleaner,1,2016-12-15 00:00:00,103.92
3M Office Air Cleaner,1,2018-07-31 00:00:00,155.88
3M Organizer Strips,1,2015-11-20 00:00:00,12.96
3M Organizer Strips,1,2016-07-11 00:00:00,6.48
3M Organizer Strips,1,2018-04-06 00:00:00,8.1
3M Organizer Strips,1,2018-09-09 00:00:00,4.86
3M Organizer Strips,1,2018-09-10 00:00:00,16.2
3M Organizer Strips,1,2018-11-14 00:00:00,8.64
3M Polarizing Light Filter Sleeves,1,2016-03-31 00:00:00,22.38
3M Polarizing Light Filter Sleeves,1,2017-05-29 00:00:00,44.76
3M Polarizing Light Filter Sleeves,1,2017-11-10 00:00:00,37.3
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",1,2015-09-07 00:00:00,821.88
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",1,2017-11-05 00:00:00,273.96
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",1,2018-04-08 00:00:00,273.96
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",1,2018-11-19 00:00:00,821.88
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,1,2016-04-13 00:00:00,75.84
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,1,2016-09-26 00:00:00,60.672
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,1,2016-12-10 00:00:00,53.088
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,1,2017-04-10 00:00:00,113.76
4009 Highlighters,1,2017-01-23 00:00:00,8.04
4009 Highlighters by Sanford,1,2015-01-13 00:00:00,19.9
4009 Highlighters by Sanford,1,2015-05-21 00:00:00,31.84
4009 Highlighters by Sanford,1,2016-10-12 00:00:00,19.9
4009 Highlighters by Sanford,1,2017-05-09 00:00:00,27.86
4009 Highlighters by Sanford,1,2017-11-18 00:00:00,6.368
4009 Highlighters by Sanford,1,2018-06-24 00:00:00,35.82
4009 Highlighters by Sanford,1,2018-07-03 00:00:00,9.552
4009 Highlighters by Sanford,1,2018-10-30 00:00:00,19.9
50 Colored Long Pencils,1,2015-11-11 00:00:00,30.48
50 Colored Long Pencils,1,2016-03-02 00:00:00,10.16
50 Colored Long Pencils,1,2016-08-13 00:00:00,50.8
50 Colored Long Pencils,1,2017-04-01 00:00:00,30.48
50 Colored Long Pencils,1,2018-04-07 00:00:00,16.256
"6"" Cubicle Wall Clock, Black",1,2017-09-05 00:00:00,58.248
"6"" Cubicle Wall Clock, Black",1,2018-09-11 00:00:00,32.36
"6"" Cubicle Wall Clock, Black",1,2018-12-09 00:00:00,9.708
9-3/4 Diameter Round Wall Clock,1,2015-07-11 00:00:00,124.11
9-3/4 Diameter Round Wall Clock,1,2015-08-01 00:00:00,44.128
9-3/4 Diameter Round Wall Clock,1,2016-10-02 00:00:00,11.032
9-3/4 Diameter Round Wall Clock,1,2017-02-21 00:00:00,68.95
9-3/4 Diameter Round Wall Clock,1,2017-05-26 00:00:00,41.37
